# Lband calibrators, all usable on core, most on all baselines, some variable,
J0010-4153 | 0008-421, radec gaincal, 00:10:52.52, -41:53:10.8, (145. 20000. -16.9316 15.3898 -4.2105 0.3496)
J0022+0014 | 0019-000, radec gaincal, 00:22:25.42, +00:14:56.2, ()
J0024-4202 | 0022-423, radec gaincal, 00:24:42.989921, -42:02:03.950200, ()
J0025-2602 | 0023-263, radec gaincal, 00:25:49.17, -26:02:12.8, (333. 99000. -8.4450 9.2780 -2.7801 0.2499)
J0059+0006 | 0056-001, radec gaincal, 00:59:05.53, +00:06:51.5, (74.   8400. -0.9051 1.8362 -0.6141 0.0518)
J0108+0134 | 0106+013, radec gaincal, 01:08:38.75, +01:34:58.9, ()
J0137+3309 | 3C48, radec gaincal, 01:37:41.29, +33:09:35.13, (50. 50000. 0.5240 1.7377 -0.6396 0.0498)
J0155-4048 | 0153-410, radec gaincal, 01:55:37.059378, -40:48:42.35645, ()
J0203-4349 | 0201-440, radec gaincal, 02:03:40.754300, -43:49:50.783, (80.  22000. 1.4053 0.1893 -0.1654 0.0030)
J0210-5101 | 0208-512, radec gaincal, 02:10:46.08, -51:01:02.2, ()
J0238+1636 | 0235+164, radec gaincal, 02:38:38.930108, +16:36:59.27471, ()
J0240-2309 | 0237-233, radec gaincal, 02:40:08.14, -23:09:16.0, (365. 43000. -23.5170 20.5047 -5.5855 0.4851)
J0252-7104 | 0252-712, radec gaincal, 02:52:46.31, -71:04:36.2, (145. 20000. 1.1245 0.7190 -0.2955 0.0096)
J0303-6211 | 0302-623, radec gaincal, 03:03:50.81, -62:11:25.4, ()
J0318+1628 | CTA21, radec gaincal, 03:18:57.77, 16:28:33.1, (318. 43000. -13.4672 12.4587 -3.4110 0.2867)
J0323+0534 | 0320+053, radec gaincal, 03:23:20.31, +05:34:11.9, ()
J0329+2756 | 0326+277, radec gaincal, 03:29:57.669413, +27:56:15.499140, ()
J0403+2600 | 0400+258, radec gaincal, 04:03:05.586048, +26:00:01.502740, ()
J0405-1308 | 0403-132, radec gaincal, 04:05:33.94, -13:08:14.4, (74.  22000. -0.8395 2.4438 -0.9451 0.1006)
J0408-6545 | 0408-658, radec gaincal, 04:08:20.38, -65:45:09.6, (145. 18000. -0.9790 3.3662 -1.1216 0.0861)
J0409-1757 | 0406-180, radec gaincal, 04:09:06.68, -17:57:09.4, ()
J0420-6223 | 0420-625, radec gaincal, 04:20:56.19, -62:23:37.6, (145. 20000. 4.7772 -2.1190 0.3788 -0.0433)
J0423-0120 | 0420-014, radec gaincal, 04:23:15.8, -01:20:32.4, ()
J0431+2037 | 0428+205, radec gaincal, 04:31:03.7620, +20:37:34.250, ()
J0440-4333 | 0438-436, radec gaincal, 04:40:17.07, -43:33:09.0, ()
J0447-2203 | 0445-221, radec gaincal, 04:47:37.2822, -22:03:36.8051, ()
J0453-2807 | 0451-282, radec gaincal, 04:53:14.67, -28:07:36.6, ()
J0503+0203 | 0500+019, radec gaincal, 05:03:21.197177, +02:03:04.676380, ()
J0521+1638 | 3C138, radec gaincal, 05:21:09.93, +16:38:22.2, (200. 50000. 1.3781 0.1619 -0.065 -0.01)
J0534+2200 | 3C144, radec gaincal, 05:34:31.97, +22:00:52.1, (50. 4000. 4.9886 -1.744 0.556 -0.067)
J0538-4405 | 0537-441, radec gaincal, 05:38:50.18, -44:05:10.3, ()
J0609-1542 | 0607-157, radec gaincal, 06:09:41.0, -15:42:40.5, ()
J0616-3456 | 0614-349, radec gaincal, 06:16:35.981369, -34:56:16.5633960, (80.  20000. 1.6678 -0.2215 -0.0396 -0.0044)
J0632+1022 | 0629+104, radec gaincal, 06:32:15.3269, +10:22:01.676, ()
J0725-0054 | 0723-008, radec gaincal, 07:25:50.68, -00:54:58.0, ()
J0730-1141 | 0727-115, radec gaincal, 07:30:19.15, -11:41:12.3, ()
J0735-1735 | 0733-174, radec gaincal, 07:35:45.84, -17:35:48.3, ()
J0739+0137 | 0736+017, radec gaincal, 07:39:18.033894, +01:37:04.618030, ()
J0745+1011 | 0742+103, radec gaincal, 07:45:33.059511, +10:11:12.692470, ()
J0825-5010 | 0823-500, radec gaincal, 08:25:26.86, -50:10:38.486, (408. 22000. -33.5795 27.9753 -7.3670 0.6198)
J0828-3731 | 0826-373, radec gaincal, 08:28:04.780268, -37:31:06.280640, ()
J0842+1835 | 0839+187, radec gaincal, 08:42:05.094180, +18:35:40.990610, ()
J0854+2006 | OJ287, radec gaincal, 08:54:48.87, +20:06:30.7, ()
J0906-6829 | 0906-682, radec gaincal, 09:06:52.23, -68:29:39.9, (145. 20000. 0.7680 1.3416 -0.6601 0.0573)
J1008+0740 | 3C237, radec gaincal, 10:08:00.016, +07:30:16.552, (145. 43000. 3.1549 -1.0771 0.2183 -0.0356)
J1051-2023 | 1049-201, radec gaincal, 10:51:32.11, -20:23:47.9, (74.  20000. 2.3790 -1.0425 0.2814 -0.0538)
J1058+0133 | 1055+018, radec gaincal, 10:58:29.62, +01:33:58.2, ()
J1120+1420 | 1117+146, radec gaincal, 11:20:27.807267, +14:20:54.991600, ()
J1120-2508 | 1117-248, radec gaincal, 11:20:09.14, -25:08:07.2, (74.  20000. -2.3434 2.3685 -0.5616 0.0226)
J1130-1449 | 1127-145, radec gaincal, 11:30:07.05, -14:49:27.2, (302. 20000. -4.7962 4.3260 -1.0387 0.0710)
J1139-1350 | 1136-135, radec gaincal, 11:39:10.69, -13:50:42.9, ()
J1141-2850 | 1139-285, radec gaincal, 11:41:34.54, -28:50:52.1, (74.   8400. 0.7452 1.2832 -0.6408 0.0632)
J1150-0023 | 1148-001, radec gaincal, 11:50:43.870761, -00:23:54.204900, (80.  99000. 2.6701 -2.1297 0.7214 -0.0857)
J1154-3505 | 1151-348, radec gaincal, 11:54:21.76, -35:05:29.4, (75.  43000. -2.9686 3.9700 -1.2009 0.1020)
J1215-1731 | 1213-172, radec gaincal, 12:15:46.84, -17:31:46.2, ()
J1239-1023 | 1237-101, radec gaincal, 12:39:43.04, -10:23:28.6, ()
J1246-2547 | 1244-255, radec gaincal, 12:46:46.9, -25:47:48.2, ()
J1256-0547 | 3C279, radec gaincal, 12:56:11.7, -05:47:21.52, ()
J1311-2216 | 3C283, radec gaincal, 13:11:39.33, -22:16:41.74, (60.  43000. -3.3516 6.4132 -2.4230 0.2522)
J1318-4620 | 1315-460, radec gaincal, 13:18:30.064, -46:20:34.90, (145. 20000. 8.1689 -6.5930 2.0835 -0.2452)
J1323-4452 | 1320-446, radec gaincal, 13:23:04.246182, -44:52:33.853400, ()
J1330+2509 | 3C287, radec gaincal, 13:30:37.69, +25:09:10.9, (80 14900 1.0388 0.5265 -0.2145 0.0089)
J1331+3030 | 3C286, radec gaincal, 13:31:08.288, +30:30:32.959, (50. 50000. 0.0181 1.592 -0.5011 0.0357)
J1337-1257 | 1334-127, radec gaincal, 13:37:39.83, -12:57:24.6, ()
J1347+1217 | 1345+125, radec gaincal, 13:47:33.36, +12:17:24.238, (333. 99000. 1.4389 -0.2156 0.0345 -0.0130)
J1424-4913 | 1421-490, radec gaincal, 14:24:32.08, -49:13:50.7, (145. 99000. 6.0550 -4.1963 1.1975 -0.1218)
J1427-4206 | 1424-418, radec gaincal, 14:27:56.22, -42:06:18.6, ()
J1445+0958 | OQ172, radec gaincal, 14:45:16.465213, +09:58:36.072440, ()
J1501-3918 | 1458-391, radec gaincal, 15:01:35, -39:18:39, (408. 20000. 5.7026 -3.9782 1.1342 -0.1271)
J1512-0906 | 1510-089, radec gaincal, 15:12:50.54, -09:06:00.9, ()
J1517-2422 | ApLib, radec gaincal, 15:17:41.85, -24:22:20.0, ()
J1550+0527 | 1548+056, radec gaincal, 15:50:35.26, +05:27:10.6, ()
J1605-1734 | 1602-174, radec gaincal, 16:05:02.12, -17:34:15.9, ()
J1609+2641 | CTD93, radec gaincal, 16:09:13.32, +26:41:29.0, (318. 10695. -20.1510 17.1277 -4.4962 0.3670)
J1619-8418 | 1607-841, radec gaincal, 16:19:33.97, -84:18:19.10, (145. 20000. 2.0880 -0.3067 -0.0602 -0.0109)
J1726-5529 | 1722-554, radec gaincal, 17:26:49.7, -55:29:38.0, (408. 20000. -22.9922 19.0166 -4.8335 0.3765)
J1733-1304 | NRAO530, radec gaincal, 17:33:02.66, -13:04:49.1, (408. 99000. -0.1038 1.0514 -0.3499 0.0322)
J1744-5144 | 1740-517, radec gaincal, 17:44:25.47, -51:44:43.1, (145. 99000. -3.6941 2.7447 -0.3655 -0.015)
J1830-3602 | 1827-360, radec gaincal, 18:30:58.97, -36:02:31.7, (333. 22000. 0.4218 1.4761 -0.4243 0.0002)
J1833-2103 | 1830-210, radec gaincal, 18:33:39.915, -21:03:40.05, ()
J1859-6615 | 1854-663, radec gaincal, 18:59:57.80, -66:15:02.8, (145. 20000. -5.3678 5.9491 -1.7969 0.1492)
J1911-2006 | 1908-201 , radec gaincal, 19:11:09.69, -20:06:55.5, ()
J1923-2104 | 1920-211, radec gaincal, 19:23:32.2, -21:04:33.7, ()
J1924-2914 | OV-236, radec gaincal, 19:24:51.11, -29:14:31.0, ()
J1939-6342 | 1934-638, radec gaincal, 19:39:25.05, -63:42:43.63, (408. 8640. -30.7667 26.4908 -7.0977 0.605334)
J1951-2737 | 1948-277, radec gaincal, 19:51:23.26, -27:37:20.5, ()
J2007-1016 | 2005-104, radec gaincal, 20:07:56.81, -10:16:38.4, ()
J2011-0644 | 2008-068, radec gaincal, 20:11:14.215847, -06:44:03.555190, ()
J2052-3640 | 2049-368, radec gaincal, 20:52:17.63, -36:40:31.3, ()
J2130+0502 | 2128+048, radec gaincal, 21:30:32.877499, +05:02:17.474690, ()
J2131-1207 | 2128-123, radec gaincal, 21:31:35.26, -12:07:06.2, ()
J2131-2036 | 2128-208, radec gaincal, 21:31:01.52, -20:36:56.1, (74.  20000. 2.9655 -1.1589 0.2196 -0.0380)
J2134-0153 | 2131-021, radec gaincal, 21:34:10.31, -01:53:17.0, ()
J2136+0041 | 2134+004, radec gaincal, 21:36:38.57, +00:41:54.5, ()
J2148+0657 | 2145+067, radec gaincal, 21:48:05.48, +06:57:39.4, ()
J2152-2828 | 2149-287, radec gaincal, 21:52:03.78, -28:28:29.0, (74.  20000. -1.3470 2.4134 -0.7681 0.0596)
J2158-1501 | 2155-152, radec gaincal, 21:58:06.3, -15:01:09., ()
J2206-1835 | 2203-188, radec gaincal, 22:06:10.33, -18:35:39.0, (145. 99000. 2.1847 -0.7118 0.1563 -0.0215)
J2212+0152 | 2210+016, radec gaincal, 22:12:37.9770, +01:52:51.151, (145. 11200. 1.3836 -0.7264 0.3491 -0.0681)
J2214-3835 | 2211-388, radec gaincal, 22:14:38.569313, -38:35:45.009880, ()
J2225-0457 | 3C446, radec gaincal, 22:25:47.259, -04:57:01.390, ()
J2229-3823 | 2226-386, radec gaincal, 22:29:46.75, -38:23:59.0, ()
J2232+1143 | CTA102, radec gaincal, 22:32:36.408, +11:43:50.904, ()
J2236+2828 | 2234+282, radec gaincal, 22:36:22.470860, +28:28:57.413290, ()
J2246-1206 | 2243-123, radec gaincal, 22:46:18.28, -12:06:52.0, ()
J2253+1608 | 3C454.3, radec gaincal, 22:53:57.748, +16:08:53.56, ()
J2254+2445 | 2251+244, radec gaincal, 22:54:09.341903, +24:45:23.422800, ()
J2302-3718 | 2259-375, radec gaincal, 23:02:23.888868, -37:18:06.8388290, ()
J2314-4455 | 2311-452, radec gaincal, 23:14:09.382840, -44:55:49.2363090, ()
J2329-4730 | 2326-477, radec gaincal, 23:29:17.74, -47:30:19.2, ()
J2341-3506 | 2339-353, radec gaincal, 23:41:45.8910, -35:06:22.130, (80.  20000. -1.6575 3.4649 -1.2586 0.1128)
J2348-1631 | 2345-167, radec gaincal, 23:48:02.62, -16:31:12.6, ()
J2357-1125 | 2354-117, radec gaincal, 23:57:31.25, -11:25:38.9, ()
J2357-5311 | 2355-534, radec gaincal, 23:57:53.14, -53:11:15.6, ()
