# Perley and Butler 2016 (https://arxiv.org/pdf/1609.05940.pdf),,,,
# Names|alias, tag, RA, Dec, Flux model (Min freq [MHz] Max freq [MHz] [model coefficients])
J0408-6545 | 0408-658, radec bpcal fluxcal, 04:08:20.38, -65:45:09.6, (145. 18000. -0.9790 3.3662 -1.1216 0.0861)
J1331+3030 | 3C286, radec bpcal fluxcal, 13:31:08.288, +30:30:32.959, (50. 50000. 0.0181 1.592 -0.5011 0.0357)
J1939-6342 | 1934-638, radec bpcal fluxcal, 19:39:25.05, -63:42:43.63, (408. 8640. -30.7667 26.4908 -7.0977 0.605334)

# known stable flux calibrators,,,,
# but we do not have models for these yet,,,,
# to be added later,,,,
# J0437+2940 | 3C123, radec bpcal fluxcal, 04:37:04.38, +29:40:13.8, (50. 50000. 3.905 -0.837 0.1197 -0.0248)
# J0519-4546 | PicA, radec bpcal fluxcal, 05:19:49.69, -45:46:44.5, (200. 4000. 3.513 -0.303 -0.074)
# J0534+2200 | 3C144 | TauA, radec bpcal fluxcal, 05:34:31.97, +22:00:52.1, (50. 4000. 4.9886 -1.744 0.556 -0.067)
# J0918-1205 | 3C218 | HydA, radec bpcal fluxcal, 09:18:05.28, -12:05:48.9, (50. 12000. 4.1516 -0.7889 0.0411 -0.0139)
# J1230+1223 | 3C274 | VirA, radec bpcal fluxcal, 12:30:49.42, +12:23:28.0, (50. 3000. 4.4494 -0.5236 -0.048)
# J1720-0058 | 3C353, radec fluxcal, 17:20:28.15, -00:58:46.8, (200. 4000. 3.9081 -0.9578 0.188 -0.032)
# additional calibrators suggested by Tony,,,,
# J0025-2602 | 0023-263, radec bpcal fluxcal, 00:25:49.17, -26:02:12.8, (333. 99000. -8.4450 9.2780 -2.7801 0.2499)
# J0240-2309 | 0237-233, radec bpcal fluxcal, 02:40:08.14, -23:09:16.0, (365. 43000. -23.5170 20.5047 -5.5855 0.4851)
# J0318+1628 | CTA21, radec bpcal fluxcal, 03:18:57.77, 16:28:33.1, (318. 43000. -13.4672 12.4587 -3.4110 0.2867)
# J1609+2641 | CTD93, radec bpcal fluxcal, 16:09:13.32, +26:41:29.0, (318. 10695. -20.1510 17.1277 -4.4962 0.3670)
# J1130-1449 | 1127-145, radec bpcal fluxcal, 11:30:07.05, -14:49:27.2, (302. 20000. -4.7962 4.3260 -1.0387 0.0710)
